sentiment,text
positive,"in the third quarter , net_sales increased by 12 % year-on-year to eur 159.5 m , or by 6 % at comparable currency rates growth"
neutral,the customer is cooperative retailer osuuskauppa suur-savo
positive,the purpose of this action is to ensure company s cost effectiveness this year and in the near future
positive,"adp news - nov 18 , 2008 - finnish ac drives manufacturer vacon oyj omx : vac 1 v said today that it had set up new representative offices in romania and ukraine to serve the growing markets in eastern and southeastern europe"
positive,"the disposal of autotank will also strengthen aspo s capital structure , commented gustav nyberg , ceo of aspo"
negative,23 april 2010 - finnish construction and engineering company outotec oyj hel : ote 1 v said today it slipped to a net_loss of eur 7.3 m in the first quarter of 2010 from a net profit of eur 12.5 m in the corresponding period last year
negative,nokia siemens networks has struggled to make a profit in the past two years
positive,residentialconstruction in particular has picked up in several markets
positive,"the agreement was signed with biohit healthcare ltd , the uk-based subsidiary of biohit oyj , a finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems"
positive,the amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the company
positive,"in 2008 , the deal is likely to bring savings of eur 20 mn- 25 mn"
neutral,the acquisition price was not disclosed
positive,"kesko agro lietuva , the agricultural machinery and grain trader and another member of the kesko group , boosted its sales by 42.9 percent to 13.4 million euros , vat inclusive"
positive,cargotec germany gmbh has been awarded a contract by stadtverwaltung mainz for chassis bodies under open procedure
neutral,"our in-depth expertise extends to the fields of energy , industry , urban & mobility and water & environment"
neutral,"rockwell collins is a provider of flight deck , cabin and information management solutions for business aircraft operators"
neutral,the service developed by digia facilitates the work and resourcing of health care personnel during vaccination campaigns while providing them with monitoring and management tools
neutral,stichting pensioenfonds abp : 4118 122 shares representing 5.19 % of the share capital and voting rights
neutral,"the contract consists of a new building with an area of 18 , 000 sq m and renovation of the existing buildings"
positive,the company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market
neutral,currency conversions are based on exchange rates at the time of the deal
positive,"4 february 2011 - finnish broadband data communication systems provider teleste oyj hel : tlt 1 v saw its net profit jump to eur 2.1 m for the last quarter of 2010 from eur 995 , 000 for the same period of 2009"
positive,"( adp news ) - nov 28 , 2008 - finnish power-supply solutions provider efore oyj ( omx : efo 1 v ) announced today the launch of opus dc , the latest power system in its opus product line"
neutral,"anttila s online department store - netanttila - has an established position as the best-known , most visited and most shopped online store in finland"
negative,"in food trade , sales amounted to eur 320.1 m , a decline of 1.1 %"
neutral,"alexandria , va. , dec. 19 -- united states patent no . 7 , 853 , 620 , issued on dec. 14 , was assigned to nokia corp. ( espoo , finland )"
neutral,"alexandria , va. , may 16 -- kenneth bower of vista , calif. , has developed an ornamental design for a handset , the u.s. patent & trademark office announced"
positive,"nokia s calling all innovators africa competition has been specifically launched to enable developers to create locally relevant , best-of-breed mobile applications . @ positive p & o ferries now has a very efficient and powerful vessel for its dover to calais route , head of the shipbuilder s rauma yard , timo suistio , said"
negative,the finnish daily kauppalehti surmises that finnish supplier rautaruukki has raised its prices above aker s comfort zone
neutral,they want my credit card info and my personal details
neutral,at capman haavisto will be responsible for group finances and accounting and it
neutral,"complete name of shareholder : otto henrik bernhard nyberg for further information , please contact maija-liisa friman , ceo , tel . +358 97597 0711"
neutral,"m-real generated a turnover of eur 5.6 bn in 2006 and has 15 , 500 employees"
neutral,"tecnomen s solution can be used for prepaid and post-paid billing , for charging and rating of voice and video calls , data traffic and any kind of content services in both mobile and fixed networks"
neutral,"according to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest"
neutral,"yesterday , legrand issued its e 300 million fixed rate deal maturing 2017"
neutral,it has 80 branches in finland with annual revenue in finland of ? @ neutral nokia messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all pop or imap e-mail services
positive,olvi expects sales and market_share to increase in the first quarter of 2010
neutral,ponsse will divide its sales and maintenance service network into six geographical areas
positive,finnish fibers and plastic products maker suominen corporation said its net_loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005
neutral,the symbian foundation plans to revise its procedures for testing and signing software after digitally signing a trojan for its symbian mobile phone operating system by mistake
negative,consolidated operating_profit from continuing operations decreased by 62.3 % to eur 51.2 mn from eur 135.7 mn in 2007
negative,"in finland , media group talentum will start personnel negotiations to cut staff in parent company talentum and publishing unit talentum media"
negative,pharmaceuticals group orion corp reported a fall in its third-quarter earnings that were hit by larger expenditures on r & d and marketing
neutral,the repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the convertible bonds
neutral,about dopplr dopplr is a service for smart travellers
positive,"operating_profit was eur 9.8 mn , compared to a loss of eur 12.7 mn in the corresponding period in 2009"
neutral,"the estonian beverages maker a. le coq today brought to the market a new premium class beer , a. le coq special , investing 6 million kroons eur 383 , 000 into its development and planning to sell three million liters of the beer during the next year"
neutral,the order for plywood mill machinery and equipment announced by finnish raute in september 2006 will be delivered to thebault plyland in france
positive,"and the broker repeated its buy rating , based on expectations that current restructuring will lead to a clear improvement in performance in europe in 2007"
positive,"when open next year , it will be the largest facility in the world to produce diesel fuel from renewable feedstock such as palm oil and animal fat"
neutral,"the closing of the transaction is scheduled to take place on january 10 , 2008"
positive,"re-use back into pet bottles has also steadily increased and the rate of use in strapping tape has picked up again after a dip in 2005 , petcore said previously"
positive,"201016 july 2010 - finnish steel maker rautaruukki oyj hel : rtrks , or ruukki , said today it turned to a net profit of eur 20 m in the second quarter of 2010 from a net_loss of eur 94 m in the corresponding period last year"
neutral,"at 3 : 37 p.m. eastern time , a block of 2 , 400 contracts changed hands at a bid price of $ 0.45"
neutral,"the contract covers the manufacturing , surface-treatment and installation of the steel structures"
negative,"operating_profit margin was 8.3 % , compared to 11.8 % a year earlier"
positive,"compared with the ftse 100 index , which rose 28.3 points or 0.5 % on the day , this was a relative price change of 2.3 %"
positive,"earnings per share ( eps ) for the first quarter 2007 amounted to eur 0.07 , up from eur 0.04"
positive,validating our fgvoip client through symbian signed represents a significant step forward in accomplishing this goal
neutral,"the third quarter result also includes a 400 , 000 euro ( $ 575 , 000 ) provision for down-sizing of lure manufacturing in ireland"
neutral,aspo s group structure and business operations are developed persistently without any predefined schedules
neutral,"tvo s two-unit 1 , 740 mw olkiluoto plant generated 14.2 twh with an operating ratio across both reactors of 93.5 % , which the company described as high by international standards"
neutral,"among the scandinavian companies present in st. petersburg , is also named the swedish concern ncc , which implements projects in the field of asphalt production , road and housing construction ( project swedish krona )"
negative,"in a separate announcement to the helsinki stock exchange , atria revealed that the company s third quarter profits declined from eur 13.9 m in the third quarter of last year to eur 12.7 m in this year s q 3"
positive,operating_profit rose to eur 2.4 m from eur 1.6 m year earlier
neutral,"linde acts responsibly towards its shareholders , business partners , employees , society and the environment - in every one of its business areas , regions and locations across the globe"
neutral,"aldata solution oyj stock exchange release 11 august 2006 , at 11.00 am aldata shares subscribed for with 2003 stock options a total of 95 , 000 new shares of aldata solution oyj have been subscribed for with the company s 2003 a stock options"
neutral,"nokia will provide indosat turnkey services , including civil works , network planning , implementation and integration of a wcdma 3 g-hspa network"
negative,"at the moment , valio is not worried , but if the ban continues for long , it may become quite a problem"
neutral,the company s net_sales in 2010 totalled meur 311.4 with an operating margin of 13.9 per cent
neutral,aldata noted that its voice supply chain technology approach enables vdw to integrate with warehouse management systems
neutral,"finnish heat-retaining fireplaces maker tulikivi oyj said on august 29 , 2007 that its local tiled stoves and utility ceramics subsidiary kermansavi oy will merge into tulikivi by means of absorption in order to streamline the latest s corporate structure"
neutral,"lemminkainen oyj said that it has signed credit agreements with nordea bank sto : nda , pohjola bank hel : poh 1 s , sampo bank hel : samas and svenska handelsbanken sto : shb a"
positive,"according to the company , its operating_profit , excluding non-recurring items , in the fourth quarter of 2009 was significantly better than expected , and also better than the figures for the fourth quarter of 2008"
positive,"thereby , the company will expand its offering to north , central and south america"
neutral,"the new system , which will include 60 mc 3090 pdas from motorola , to be used by 60 poundstretcher operatives across 3 shifts , will integrate in real-time with the company s existing warehouse management system , aldata g.o.l.d stock , which went live in may 2008"
neutral,"one can even receive on the spot alerts as soon as jobs are posted , putting you at the front of the queue for opportunities"
neutral,"eq bank forecasts olvi s net_sales at eur 67 mn in the second quarter of 2009 , and operating_profit at eur 6.4 mn"
positive,new_product launches in finland will more than double from 2005
positive,the robust growth was the result of the inclusion of clothing chain lindex in the group in december 2007
negative,"operating_loss totalled eur 12.7 mn , compared to a profit of eur 17.7 mn in the first half of 2008"
positive,"finnish engineering and technology company metso oyj said on may 27 , 2008 it completed the acquisition of paper machinery technology from japanese engineering company mitsubishi heavy industries ( mhi ) for an undisclosed sum"
positive,one of my colleagues summed up the e 7 quite aptly when he remarked : fantastic hardware
positive,"as a result , the russia s import restrictions on finnish dairy companies will be canceled on 6 august 2010"
negative,"therefore , the company s 2005 result will remain weaker than that of 2004"
positive,"systeemitiimi s sales and project resources will also be strengthened , director paul skogberg said"
neutral,"in finland , alma media will focus on quality and developing chain operations"
neutral,the value of the contracts is about eur 3.3 mn
neutral,"alexandria , va. , oct. 6 -- united states patent no . 7 , 804 , 288 , issued on sept. 28 , was assigned to vacon oyj ( vaasa , finland )"
negative,they are also upset that some of the machinery and work is taken over to poland
negative,earnings per share ( eps ) amounted to a loss of eur 0.38
neutral,"8 , 600 m , and at the time of investment it is fully leased to several tenants"
neutral,the report contains category level company and brand share as well as distribution share information for 2007 and 2008
negative,diluted earnings per share ( eps ) fell to eur 0.63 from eur 1.71
neutral,"we have come out with a decision which is based on our preliminary economic , operational and environmental findings , karvinen said"
neutral,deliveries by outotec will take place over 30 months
neutral,"according to gallup food and farm facts , beef consumption totaled 99 mn kilos in finland in 2007"
neutral,"our customers come from the following countries : uk , usa , spain , france , italy , germany , china , hong kong , sweden , norway , netherlands , austria , belgium , switzerland , czech republic , finland , canada , russia , ukraine , denmark , ireland , south korea and liechtenstein"
negative,"scanfil , a systems supplier and contract manufacturer to the communications sector , will give notice to 20 productional employees , and temporarily lay off 15 employees at the company s plant in sievi , in finland"
positive,both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt
neutral,"foodservice and consumer goods markets are served by approximately 13 , 000 people in 54 manufacturing units and several sales offices in 33 countries"
positive,the main strength of the cooperation project lies in merging the know-how of two large companies
neutral,pharmaceuticals - poland this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in poland
neutral,"the project will be a 2 x 600 mw coal-fired power plant , located some 420 km south of hanoi , the company said"
neutral,"pct lower at 4 , 442.10"
neutral,"nonwovens and specialty papers , made by ahlstrom , are used in a large variety of everyday products , e.g . in filters , wipes , flooring , labels , and tapes"
positive,"the contract covers hdo platform , ac 800 and cxe 880 optical fttb nodes designed to increase the forward and return path capacity of the transmission networks"
positive,21 october 2010 - finnish fishing tackle company rapala vmc corp ( hel : rap 1 v ) said today its net profit rose to eur 18.9 m for the first nine months of 2010 from eur 15.1 m for the same period a year earlier
neutral,"the network test business is part of elektrobit s test and automation business segment and employs 39 people in finland and 22 people abroad , mainly in the us and asia"
neutral,vacon controls a further 5 % of the company via investment fund power fund i. eur 1.0 = usd 1.397 @ neutral 4 ) complete name of the shareholder : otto henrik bernhard nyberg 5 ) further information : the amount of shares now transferred corresponds to 5.68 % of the total number of shares in aspo plc .
positive,"the finnish government announced wednesday that it sold a 32 percent stake in chemicals and fertilizer group kemira oyj for ( x 20 ac ) 655.6 million ( $ 890 us million ) , sending the company s share price up 6 percent"
neutral,finnish food company raisio oyj hel : raivv said on friday it has wrapped up the divestment of its margarine operations to us sector player bunge ltd nyse : bg for eur 80 m usd 119.2 m
positive,helsinki afx - kci konecranes said it has won an order for four hot metal ladle cranes from indian steel producer bhushan steel and strips ltd .
positive,ruukki announced that it has signed an agreement with aker solutions of norway to supply 24 suction anchors in september 2010 from its kalajoki unit in finland
neutral,"as part of its new strategy , finnish biohit is planning to incorporate its diagnostics business into a separate limited company"
neutral,"it makes a wide range of mobile devices with services and software that enable people to experience music , navigation , video , television , imaging , games and business mobility"
neutral,"in finland , hamina cargo terminal , of finnish nurminen logistics , has purchased a warehouse with ground lease rights in the port of hamina"
neutral,teleste bk optiflex amplifier products will be used in ongoing capacity upgrade of kdg s network to bi-directionality
negative,"as a result of these transactions , the aggregate holdings of burrill life sciences capital fund , l.p. has decreased below 5 per cent of the total number of shares and votes of the company"
positive,"the australian company mirabela nickel has awarded outokumpu technology a contract for grinding technology for its nickel sulfide project in bahia state , brazil"
neutral,the board of directors has proposed the extraordinary general meeting to authorise the board to decide on the issuance of a maximum of 30 mn new shares in one or more share issues
neutral,"iso omena is based in the matinkyla district of the southern part of the city of espoo , southern finland"
negative,the lay-offs will affect 240 people out of the total 320 okmetic employees in finland
neutral,"westpac banking corp - is to issue a benchmark , 3 year frn deal in euros"
neutral,"lcs s services cover the whole life cycle of software and information systems , from process modelling and tailored software development , to hosting services , solution management , maintenance and support"
neutral,"with the second phase of the new innova building , tecnopolis presence in jyvaskyla will increase to a total of approximately 62 , 000 floor square meters"
neutral,"the report also said nokia s operations comprising the sites at bochum , ulm , dusseldorf , munich and frankfurt posted operating_profit after interest of 246 mln eur"
positive,diluted earnings per share ( eps ) rose to eur 0.52 versus eur 0.09
negative,"in the baltic countries , sales fell by 40.2 % , and in russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency"
neutral,investments in product development stood at 6.0 mln euro ( $ 8.8 mln )
neutral,the first stage of the contract covers 133 stores and 600 cash registers
neutral,"the most popular mobile data services are email , surfing the internet , as well as news and weather services"
positive,ceo erkki j+ rvinen is happy with the company s performance in 2010
neutral,"strong brand visibility nationally and regionally is of primary importance in home sales , vehicle and consumer advertising"
neutral,"according to sweden s minister for local government and financial markets , mats odell , the decision to sell the state s shares in telecom group teliasonera can only be carried out in cooperation with the state of finland"
neutral,"the facility will have a lettable area of some 19 , 000 sq m. the plot for the plant , located in the ratasmaki business park , will be purchased from the city of forssa"
positive,"in 2006 , kone received an order from aker yards to supply 43 customised elevators for the very first genesis cruise ship which is scheduled to be completed in 2009"
neutral,the closing of such transaction took place today
negative,loss for the period totalled eur 15.6 mn compared to a profit of eur 6.3 mn in 2008
positive,"with the measures , suominen corporation aims to ensure the competitiveness of the flexible packaging business in the long term"
neutral,customers in a wide range of industries use our stainless steel and services worldwide
neutral,in sweden the agreement covers data communication services as well
positive,"in china , finnish kone that provides elevators , escalators , and solutions for modernisation and maintenance will build 342 escalators that will be installed in a high-speed railway section between beijing and shanghai in a 1.5 years time"
negative,"finnish suominen flexible packaging is cutting 48 jobs in its unit in tampere and two in nastola , in finland"
negative,"lassila & tikanoja s operating_profit excluding non-recurring and imputed items for the second quarter was eur 11.3 m , down from eur 13.8 m a year ago"
neutral,"the businesses to be divested offer dairy , edible fats , ready-meal and ice-cream packaging to multinational and local customers"
neutral,the compnay also said that it would lower the price of development projects by about one third compared with last november
positive,"it allows the young child to move forward with his life . @ positive our decision and resolve on meego is only stronger , she continued"
neutral,"the offer of some 30 million shares aimed to raise more than x 20 ac 500 million us $ 640 million , was expected to be completed by oct. 9 , outokumpu said"
positive,the company is also featured in the ethibel pioneer investment register and included in innovest s global 100 list of the world s most sustainable corporations
neutral,"thanks to the development of a system that enables it to trace the origin of all the palm oil that it uses , it knows exactly where and how its palm oil has been produced"
negative,finnish communication electronics components supplier scanfil oyj tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago
neutral,active shipping is essential for finland
neutral,"according to barclays , the f-secure software will protect users from hackers , viruses , spyware and other digital attacks"
positive,"the stable outlook reflects nokia s strong market position in the global mobile handset market , strong cash_flow generation , and very conservative balance sheet , said raab"
positive,"the six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005"
positive,with this acquisition panostaja oyj further expands its business area specialising in digital printing
positive,also lemmink+ inen s profit for accounting period went up to eur 3.1 mn from eur -24.5 mn a year ago
neutral,"tecnomen , headquartered in espoo , finland , develops messaging and charging solutions for telecomms operators and service providers worldwide"
neutral,"we hope to clarify our policies to finnish businesses where there are any gray areas , motlanthe said"
neutral,according to the announcement of the helsinki stock exchange the share of sentera shall be delisted from the nm-list of the helsinki stock exchange accordingly
neutral,"it is a testament to the quality of our lte solution and our commitment to the japanese market , he added"
negative,"only the driver was left in the car with the suspect , who was kidnapped and forced at gunpoint to drive to durham"
neutral,technopolis s technological centers supply their clients with modern high-class premises
neutral,"in the baltics , the merger of the businesses of the two is expected to be completed in early 2008"
negative,"as production of other products will continue normally , temporary lay-offs concern simultaneously at most 80 employees"
neutral,in 2005 cargotec s net_sales exceeded eur 2.3 billion
neutral,"for 2009 , net profit was eur 3 m and the company paid a dividend of eur 1.30 apiece"
positive,"after the share purchase is completed , financing will also be provided to expand latvia s broadband infrastructure and to develop new areas of business , including acquisitions of other companies . @ positive in terms of profitability and earnings 2007 was the best year in our history , chief executive veli-matti mattila said"
neutral,"the portfolio comprises of 118 , 000 m 2 of leasable space with a vacancy rate of roughly 5 % , let to around 140 tenants of which two of the largest are the swedish government and ericsson"
neutral,it wo n t happen overnight
neutral,at 9 : 00 eet alma media s annual report for 2009 is scheduled to be published in calendar week 9
neutral,it is hand-painted resin with real 14-0 trebles and is 75 cm long by 25 cm deep from top to bottom of the middle hook
positive,the effect of the savings will be noticeable as of the beginning of 2010
negative,"compared with the ftse 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 %"
neutral,"nordic business report- 17 january 2006 -efore plc inaugurates new_plant in estonia - 1998-2006 m 2 communications ltd finnish power electronics manufacturer efore plc said on tuesday ( 17 january ) that it was inaugurating its new_plant in parnu , estonia"
neutral,"also , a seven-year historic analysis is provided for these markets"
neutral,"after buying eukor car carriers 50 percent stake , grimaldi group is now the sole owner of the swedish roll-on , roll-off port of wallhamn"
neutral,"a maximum of 20 employees , who work in karttakeskus and are responsible for producing geographic information services , will be affected , the company added"
neutral,the first of the two project phases is expected to be completed by the end of 2012
negative,"as part of the reorganisation measures that will take place in spring 2006 , tamglass finton will start personnel negotiations that will affect its entire staff of 33"
neutral,"in stead of being based on a soft drink , as is usual , the teho energy drink is made with fresh water"
neutral,finnish talvivaara mining co hel : tlv 1 v said thursday it had picked bofa merrill lynch and jpmorgan nyse : jpm as joint bookrunners of its planned issue of convertible notes worth up to eur 250 m usd 332 m
neutral,finnish beverage company olvi is one of the last listed companies in finland that has not yet published its financial result for the second quarter of 2009
neutral,"according to finnish l+ nnen tehtaat s ceo matti karppinen , now that l+ nnen tehtaat has sold the majority of its feed and grain business , it will quickly start to look for acquisitions"
neutral,as an overall effect of the above-mentioned measures glaston will recognize non-recurring expenses of eur 12 million in the fourth quarter of 2008
negative,"net cash from operating activities was a negative eur 0.3 mn , compared to eur 30.9 mn in 2009"
positive,finnish plumbing and heating systems supplier uponor corporation ( omx helsinki : unr 1 v ) said on tuesday ( 12 august ) that its board of directors has authorised the management to proceed with a company-wide cost reduction program
neutral,"the size of the extension , 18.5 % of which already has been let , will have a gross area of about 2 , 830 sq m 30 , 460 sq ft"
neutral,"the employer , together with health personnel , supports quitting and pays part of the cost of nicotine treatments"
neutral,teleste expects to start the deliveries at the end of 2009
neutral,the value of the deal is estimated at between sek 25 m and sek 50 m
positive,"exel composites long-term growth prospects remain favourable , however"
neutral,"according to him , construction work will start in spring 2007 , and the facility is to be commissioned in spring 2008"
positive,"we love activision s fresh , colorful approach to rapala : we fish , said kelly brockpahler , rapala"
neutral,"currently glaston employs approximately 1 , 500 persons"
neutral,people who enjoy mobile games are often the same customers who enjoy experimenting with new mobile services and content
positive,finnish automation solutions developer cencorp corporation ( omx helsinki : cnc 1 v ) said on friday ( 27 june ) that it has completed employee negotiations regarding a reorganisation of its operations
negative,"in january-june 2010 , diluted loss per share stood at eur 0.3 versus eur 0.1 in the first half of 2009"
neutral,"( a spokesperson told wwd to expect a 50-50 mix of clothing and home decor . ) @ neutral ( the acquisition sum has not been disclosed . ) @ neutral luna took fifth place on six-under 207 , a shot behind spain s beatriz recari and germany s martina eberl , while welsh player becky brewerton was the highest-placed british finisher , sharing seventh place on three-under 210 after shooting 71"
positive,"29 september , 2010 finnish waste management and recycling company lassila & tikanoja expands its operations in russia by introducing its recently completed recycling plant in the city of dubna near moscow"
neutral,"apart from nordea , also ergo is competing for the position among the top three pension funds providers in estonia"
positive,"we have tailored our solutions to meet solel s technical requirements , and the result is both cost-effective manufacturing and highest-quality reflectors . @ positive we ve been feeling quite positive about the region as a whole"
neutral,finland s dominating rail company vr is planning to set the infected passengers for long-distance trip in a separate carriage
neutral,yit kausta will build commercial and residential highrises in virsuliskes area
neutral,"seller is the finnish elcoteq group , the largest european electronics manufacturing services company"
negative,"( adp news ) - feb 11 , 2009 - finnish wood products technology supplier raute oyj ( hel : rutav ) said today its net profit decreased to eur 4.7 million ( usd 6.1 m ) for 2008 from eur 6.6 million for 2007"
neutral,"in 2009 , it reported net_sales of approximately eur 6 mn"
positive,"we are very pleased with the fine co-operation between the two countries in recent times , he said"
negative,"many of the commercial vessels had got stuck in the narrow bay of bothnia , where the ice is thicker , and around the aaland islands"
positive,"the launch of the plant in june went well , and it has been producing the advanced fuel for a couple of weeks"
positive,"both operating_profit and turnover for the six-month period increased , respectively from eur 0.1 m and eur 29.0 m , as compared to the corresponding period a year ago"
negative,"the estonian electronic components factory , elcoteq , is running out of material because of the closure of air traffic"
negative,operating_profit for 2009 lower than outlook published earlier
neutral,the value of the orders is about eur 25 mn
neutral,"the group intends to relocate warehouse and office space in loudeac and saint marcel to morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit"
positive,the government has had a very professional approach in assessing the offer
neutral,"in addition to the tulikivi corporation , he is also currently a member of the board of the following companies : altia corporation , j+ rvi-suomen portti osuuskunta , osuuskunta kpy , profile vehicles oy and voimatel oy"
neutral,the appointments will be in force until the new ceo has been appointed
neutral,nd = not disclosed
neutral,"the company , which has eur 2.8 bn in assets , counts among its five largest shareholders finnish insurers ilmarinen 4.34 % and varma 0.70 % , as well as the finnish state pension fund ver 0.61 %"
neutral,ruukki is restructuring commercial and industrial construction operations in pursuit of permanent improvements whilst adjusting operations to market conditions
negative,"yit s baltic sales in the first three quarters of 2008 totaled 106.2 million euros , representing a drop of 29 percent year on year"
neutral,"the second variant offers complete final finishing of any selected apartment with foreign high quality materials ( finland , denmark , germany , france )"
neutral,the original patent was filed in finland under application no .
neutral,the sale price was not disclosed
positive,"under a memorandum of understanding mou the parties will collaborate in preparing and implementing joint projects in the fields of combined power and heat generation , environmental protection and energy efficient technologies"
neutral,"in 2007 talentum will disclose three interim reports - q 1 ( january - march ) on friday , 27 april , 2007 - q 2 ( april - june ) on friday , 20 july , 2007 - q 3 ( july - september ) on friday , 26 october , 2007"
neutral,the incident happened at 2 : 30 p.m. on avenue 192 at road 196
negative,the company confirmed its estimate for lower revenue for the whole 2009 than the year-ago eur 93.9 m as given in the interim report on 5 august 2009
neutral,"estonia s agriculture minister helir-valdor seeder is in finland on a two-day visit , in the course of which he will meet with his finnish counterpart sirkka-liisa anttila"
neutral,"intellisync wireless email from nokia is a full-featured wireless e-mail solution that connects users to their e-mail , calendar , contacts , notes and task lists while away from the office , according to the company"
positive,upm-kymmene has generated four consecutive quarters of positive free cash_flow
neutral,"may 29 , 2010 ( companiesandmarkets.com delivered by newstex ) -- this report provides key data and information on the meat , fish and poultry market in finland"
positive,"finnish financial group aktia reports operating_profit of eur 44.4 mn in january-september 2009 , up from eur 37.3 mn in the corresponding period in 2008"
positive,"in accordance with our strategy , we strengthened our local presence by establishing a representative office in south africa in october"
neutral,"according to pietinalho , doctors should motivate their patients who smoke every time they visit their doctors"
neutral,pharmaceuticals - czech republic this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in czech republic
positive,"thanks to his wide contact network and good knowledge of market and business environment , he will give a great contribution to the further development of our indian operations , tells incap s president & ceo juhani hanninen"
negative,55 workers in + m+ l will be affected by the close-down
positive,"( adp news ) - nov 5 , 2008 - finnish electronic measurement products and solutions maker vaisala oyj ( omx : vaias ) said today that its net profit rose to eur 18 million ( usd 23.1 m ) for the first nine months of 2008 from eur 1 @ positive ( adp news ) - oct 29 , 2008 - finnish lifting equipment maker konecranes oyj ( omx : kcr 1 v ) said today that its net profit rose to eur 116.6 million ( usd 149.1 m ) in the first nine months of 2008 from eur 73.6 million for the s @ positive metso expects its net_sales to increase by about 10 % in 2008 , at comparable exchange rates"
neutral,"the airline was targeting travel agents , tour operators and travel management companies to raise awareness first before targeting consumers , he added"
neutral,"reporting in accordance with the merged business operations will start as of january 1 , 2011"
positive,it will combine and renew the contents and functionality of the current systems for funding and online service as well as their maintenance
neutral,"these patronage refunds reward members that use the fee-based services that make a positive contribution to cencorp s operating results , said bill walby , cencorp ceo"
negative,finnish business software group affectogenimap oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005
neutral,"the works will include the laying of natural stone pavements and the installation of underground heating , and surface water drainage systems"
negative,"( adp news ) - feb 4 , 2009 - finnish broadband data communication systems and solutions company teleste oyj ( hel : tlt 1 v ) said today its net profit decreased to eur 5.5 million ( usd 7.2 m ) for 2008 from eur 9.4 million for 200 @ negative ( adp news ) - jan 22 , 2009 - finnish mobile phones maker nokia oyj ( omx : nok 1 v ) said today its operating_profit decreased to eur 5 billion ( usd 6.5 bn ) for 2008 from eur 8 billion for 2007"
neutral,"outotec is currently delivering a new oil shale processing plant for eesti energia in estonia based on enefit technology , which has been developed jointly by eesti energia and outotec"
positive,"we are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . @ positive we are proud to welcome another distribution facility to north mississippi and the region known as the logistics center of the united states , said gray swoope , executive director of mda"
neutral,"byline : tim moran cellular phone giant nokia corp. is offering $ 8.1 billion for digital map supplier navteq corp. , of chicago"
positive,"previously , the company had guided for ebit and sales growth of 20 pct and 10 pct respectively for this year"
neutral,forest certification is a voluntary system aimed at promoting sustainable forest management in commercial forests
negative,"operating profits in the half were 0.8 m , down from 0.9 m as glisten invested in the brand and the management team"
positive,"bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade"
positive,the acquisition is part of ramirent s strategy to strengthen its position in selected locations
positive,finnish cargotec has been awarded a significant order for a total of 292 hiab loader cranes by bae systems in the us
neutral,bg crane has a strong customer base in the on-road load handling and related installation and service businesses
neutral,"f-secure internet security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities"
positive,the company has committed to further expanding the apollo portfolio
neutral,no blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video
neutral,the contract has been allotted as per lowest price criteria
neutral,the winners included the honda odyssey for minivan and the nissan armada for large suv
neutral,"for 24 -hour news , try icis news www.icis.com click trial , then icis news @ neutral he wore a black beanie-type cap and a black jacket"
negative,"according to swedish authorities , traces of the very toxic osmium tetroxide have been found on the coast of per+ meri , the northernmost part of the gulf of bothnia"
positive,"nokia multimedia s net_sales totaled eur 5.7 bn , up 45 % from the corresponding period in 2005"
neutral,the owners who have participated in the business operations of the company will continue in poyry s employment after the transaction
neutral,"- so , the sales growth of cars considerably influence on the tires market"
neutral,"it now owns 80 , 565 shares in amer sports corporation , equaling 0.11 % of the company s share capital and voting rights"
neutral,the finnish company claims to have over a quarter of a million contented tulikivi fireplace business and homeowners worldwide
neutral,the ecb can mainly target inflation
neutral,the bridge is part of the highway 14 development project
neutral,"okmetic closed its plant in espoo in early 2004 , and all production lines from the site were moved to okmetic s plants in vantaa , finland and texas , usa"
negative,net_sales fell by 33 % from the third quarter of 2008 to eur 130.5 mn
